,business_id,review_count,categories,primary_category_clean,categories_new,city,coordinates.latitude,coordinates.longitude,location.zip_code,stars,neighborhoods,price,oldest_review,std_of_stars,reviews_per_week,median_of_stars,reactions_per_week,stars_linear_coef,restaurant_density,restaurant_similar_density,zreview_count_all,zstar_all,zprice_all,zreview_per_week_all,is_claimed,is_chain,is_closed
10,AoO0FJyUm01lmIJJTcPWEQ,47,"['Burgers', 'Restaurants']",Burgers,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",Mesa,33.4064076,-111.7716542,85204,4,[],1,16352,0.994325229,0.002874266,4,0.007216243,-0.000194763,3,3,1.393466029,0.066666667,-0.083333333,1.334081121,TRUE,FALSE,FALSE
11,eK6KGMKqU_4nB9RdayZD7Q,17,"['Mexican', 'Restaurants']",Mexican,"[{'alias': 'mexican', 'title': 'Mexican'}]",Phoenix,33.44247437,-112.0658264,85004,3,[],2,15596,0.8065476,0.001090023,3,0.001987689,0.000312575,76,9,-0.431126486,-0.078947368,0.105263158,-0.545667009,TRUE,FALSE,FALSE
12,umdxfhSlk67yGEi8-S-bEg,70,"['Burgers', 'American (Traditional)', 'Restaurants']",Burgers,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'bars', 'title': 'Bars'}]",Scottsdale,33.67632744,-111.9232929,85255,3,[],2,5502,1.382824399,0.012540894,3,0.027989822,0.000162039,4,3,0.59843177,-0.125,0.0625,1.608070998,TRUE,FALSE,TRUE
13,HQFscafV3wi5z4yOKdUGRg,58,"['Breakfast & Brunch', 'Diners', 'Restaurants']",Breakfast & Brunch,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'salad', 'title': 'Salad'}]",Phoenix,33.48003,-112.08084,85013,3.5,[],1,17808,1.026550045,0.003256963,4,0.008423181,0.000542034,59,12,0.011543324,-0.011864407,-0.086206897,-0.130736876,TRUE,FALSE,FALSE
14,hBodj_f6adUAnEVUb_he_A,4,"['American (Traditional)', 'Restaurants']",American (Traditional),"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",Phoenix,33.38642883,-112.0729599,85042,2.5,[],1,17115,1.5,0.000233713,2,0.000525855,0.001757895,14,1,-0.686161148,-0.15,-0.035714286,-0.90006699,FALSE,FALSE,FALSE
15,6ZYt8IChJmH3Ra5IqnlivA,9,"['Sandwiches', 'Restaurants']",Sandwiches,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}]",Tempe,33.3349199,-111.96203,85284,2.5,[],1,14028,1.154700538,0.000641574,3,0.002067294,-0.001162203,21,8,-0.73994366,-0.171428571,-0.142857143,-0.747389007,TRUE,TRUE,FALSE
16,y8a480EiwWikqlR1inkGxg,28,"['Sushi Bars', 'Restaurants']",Sushi Bars,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",Tempe,33.37843991,-111.9289998,85282,3.5,[],2,10150,1.447640586,0.002758621,4,0.003349754,-0.000480389,18,1,-0.438324292,-0.022222222,0.152777778,-0.300729166,TRUE,FALSE,FALSE
18,qBc36uFI7orWS8NpYZCv_w,30,"['Mexican', 'Restaurants']",Mexican,"[{'alias': 'mexican', 'title': 'Mexican'}]",Mesa,33.435166,-111.8660545,85201,3.5,[],2,8806,1.192525274,0.003293209,4,0.00533727,0.000952964,11,3,0.474318738,-0.009090909,0.136363636,1.217527943,TRUE,FALSE,FALSE
19,sH17KGxbMVrlr66n92Qh8g,6,"['Fast Food', 'Mexican', 'Restaurants']",Fast Food,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",Phoenix,33.63867,-111.97726,85032,3,[],1,12264,1.343709625,0.000489237,3.5,0.002120026,-0.000970384,14,8,-0.62307614,-0.035714286,-0.076923077,-0.764549338,FALSE,TRUE,FALSE
20,FURgKkRFtMK5yKbjYZVVwA,326,"['American (New)', 'Restaurants']",American (New),"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",Phoenix,33.513575,-112.073381,85012,4,[],2,6895,0.898666155,0.046555475,4,0.14213198,0.000813851,39,8,1.776468393,0.074358974,0.121794872,3.584856364,TRUE,FALSE,FALSE
21,kMxYp2GZL5ic6b05gPP57Q,12,"['Hot Dogs', 'Restaurants']",Hot Dogs,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}]",Phoenix,33.4341095,-111.9969141,85034,2,[],1,7784,0.816496581,0.001541624,2,0.006294964,-0.0015046,23,2,-0.39630353,-0.12173913,-0.142857143,-0.122836055,FALSE,TRUE,FALSE
22,bzXDUQ-5Odzx5WZNoSoANg,40,"['Fish & Chips', 'Restaurants']",Fish & Chips,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'seafood', 'title': 'Seafood'}]",Glendale,33.65356649,-112.1848251,85308,4,[],2,13321,1.081376438,0.003002778,4,0.00675625,0.000227397,15,2,1.139858023,0.046666667,0.133333333,0.778102924,TRUE,FALSE,FALSE
23,8HmSt7fRFe-uH6i4yCmJQQ,3,"['Fast Food', 'Restaurants']",Fast Food,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",Goodyear,33.4494,-112.341,85323,1,[],1,13615,0,0.000220345,1,0.000514139,0,25,8,-0.914214402,-0.504,-0.07,-0.984505707,TRUE,TRUE,FALSE
24,qdA4qiSXjaiuqO4SueH9VA,21,"['Mexican', 'Restaurants']",Mexican,"[{'alias': 'mexican', 'title': 'Mexican'}]",Mesa,33.4230238,-111.8565649,85201,3.5,[],1,12656,1.444818328,0.001580278,4,0.001343236,0.000251043,10,8,-0.330326883,-0.08,-0.125,-0.27612351,FALSE,TRUE,FALSE
25,3VTBObOAUyDQfpsndTz_pg,3,"['Mexican', 'Restaurants']",Mexican,"[{'alias': 'mexican', 'title': 'Mexican'}]",Glendale,33.5383278,-112.1544625,85301,3.5,[],1,7315,0.942809042,0.000410116,3,0.000683527,0.000896015,8,2,-0.550091331,0.0125,0,-0.572525935,TRUE,FALSE,FALSE
26,h-9z4dgdEghdPLeDMLpDYA,12,"['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife']",Bars,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",Tempe,33.40781021,-111.9539566,85282,4,[],1,12061,0.707106781,0.000994942,4,0.001906973,0.000796634,30,7,-0.518595196,0.09,-0.112068966,-0.560344897,TRUE,FALSE,FALSE
27,In93N5Jqu85xAh0qQ2jb1w,3,"['Mexican', 'Restaurants']",Mexican,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",Gilbert,33.30780509,-111.7428631,85295,3.5,[],1,3948,0.942809042,0.000759878,4,0,-0.000992556,22,7,-1.159014909,-0.018181818,-0.193181818,-1.118376163,TRUE,TRUE,FALSE
28,nih6RQC-HttWiO28HOcfOA,4,"['American (Traditional)', 'Comfort Food', 'Caterers', 'Event Planning & Services', 'Restaurants']",American (Traditional),"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",Tempe,33.39136,-111.90869,85282,3.5,[],1,13020,0.5,0.00030722,3.5,0.001228879,-8.80E-05,19,3,-1.054799616,0.036842105,-0.138888889,-0.987746317,TRUE,TRUE,FALSE
29,h_FP6Lho52MIorjH8GuerQ,3,"['Fast Food', 'Restaurants']",Fast Food,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]",Surprise,33.63933753,-112.4191866,85374,3,[],1,7658,1.632993162,0.000391747,3,0,0.0047797,3,4,-1.224744871,0.033333333,0,-1.386558241,FALSE,TRUE,FALSE
30,rSZj7lgBxREaMhGMnjuZ3g,4,"['Fast Food', 'Restaurants']",Fast Food,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]",Phoenix,33.46518408,-111.9788669,85008,3,[],1,10248,0.829156198,0.00039032,2.5,0.0004879,-0.002465341,19,5,-0.663531675,-0.068421053,-0.083333333,-0.705268796,FALSE,TRUE,FALSE
31,kN8792XEJfCtpD5GJLmI6g,29,"['Italian', 'Pizza', 'Restaurants']",Italian,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",Surprise,33.64039164,-112.3608474,85374,4,[],2,14098,1.092647039,0.001986097,4,0.001773301,8.85E-05,24,7,0.47156897,0.120833333,0.119047619,-0.055819505,TRUE,TRUE,FALSE
32,lnX2gaGdO0fNtykyFrp1AA,22,"['American (Traditional)', 'Diners', 'Restaurants']",American (Traditional),"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",Phoenix,33.4634,-112.09767,85007,3.5,[],1,16324,0.8,0.00122519,4,0.00612595,0.000164452,19,3,-0.071119699,0,-0.052631579,-0.463553155,FALSE,FALSE,FALSE
33,Xn06AozwcTvUPFNkknbgnw,3,"['Fast Food', 'Pizza', 'Restaurants']",Fast Food,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",Scottsdale,33.58710962,-111.8373499,85259,3,[],1,8638,0.816496581,0.000347303,3,0.002199583,0.000737461,15,9,-0.837945277,-0.073333333,-0.160714286,-0.924534976,TRUE,TRUE,FALSE
34,WxLMUX59m6sSszVNLnHDEw,11,"['Buffets', 'Chinese', 'Restaurants']",Buffets,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'buffets', 'title': 'Buffets'}]",Casa Grande,32.87852,-111.71578,85222,3,[],2,11592,1.402477147,0.00094893,3,0.002070393,-0.002039815,7,4,0.53975054,-0.057142857,0.142857143,0.173583826,FALSE,FALSE,TRUE
35,qAORECtABjr_FsvSzy1apw,23,"['Burgers', 'American (Traditional)', 'Hot Dogs', 'Restaurants']",Burgers,"[{'alias': 'burgers', 'title': 'Burgers'}]",Phoenix,33.67599072,-111.970882,85050,3,[],1,4368,1.411288609,0.00503663,4,0.009386447,0.003168369,36,3,-0.489660597,-0.075,-0.207142857,0.294640611,TRUE,TRUE,FALSE
36,_dVPzYGXKNg2rIsc40VtyA,7,"['Fast Food', 'Restaurants']",Fast Food,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]",Scottsdale,33.49523926,-111.9075928,85251,2.5,[],1,9044,1.490711985,0.000663423,2.5,0.001216276,0.002607429,37,8,-0.800879992,-0.208108108,-0.195945946,-0.817592783,FALSE,TRUE,FALSE
37,x0NOgX6P4x-82cC0kcO1hg,44,"['Sushi Bars', 'Restaurants']",Sushi Bars,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",Goodyear,33.47209058,-112.3920143,85338,4,[],2,13776,1.316417314,0.003193961,4,0.004573171,0.00052766,5,2,1.943613243,0.24,0.125,1.956445938,FALSE,FALSE,FALSE
38,Dim6R6ki5Z_05bk_V1htbQ,12,"['Pizza', 'Restaurants']",Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",Glendale,33.71067,-112.20247,85310,3,[],2,14042,1.037491633,0.000854579,3,0.001068224,-0.000152095,8,4,0.013223303,-0.1,0.15625,-0.624411864,TRUE,FALSE,FALSE
39,JUe_TAe9T9MZXutb5fblDg,7,"['Pizza', 'Restaurants']",Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}]",Phoenix,33.4799999,-112.07778,85013,2.5,[],1,14875,1.293626448,0.000470588,2,0.003764706,-0.001089866,71,7,-0.653867467,-0.215492958,-0.1,-0.659693937,TRUE,TRUE,FALSE
40,lVkDZZ8sTafPlq7f1i5row,141,"['Food', 'Coffee & Tea', 'Breakfast & Brunch', 'Vegan', 'Restaurants']",Coffee,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'vegan', 'title': 'Vegan'}]",Phoenix,33.30372373,-111.9945369,85048,4,[],2,9961,1.029011022,0.013854031,5,0.051500853,0.000627416,25,6,2.37361205,0.1,0.12,2.702762944,TRUE,FALSE,FALSE
41,cfy-C6XNFt-F-dCQfK7EDQ,65,"['Sushi Bars', 'Restaurants']",Sushi Bars,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",Chandler,33.26144,-111.85683,85248,4,[],2,16394,0.971769488,0.003903867,4,0.008478712,-0.000148546,20,1,1.867766418,0.115,0.131578947,1.279041818,TRUE,FALSE,FALSE
42,#NAME?,5,"['Sandwiches', 'Restaurants']",Sandwiches,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}]",Goodyear,33.45141,-112.35759,85338,3.5,[],1,7399,0.8,0.000675767,4,0.000946074,-0.000176227,19,3,-0.648198686,0.042105263,-0.065789474,-0.504189742,TRUE,TRUE,FALSE
43,LeTMz4hrsdHhiS-vNBj82A,8,"['Chinese', 'Restaurants']",Chinese,"[{'alias': 'chinese', 'title': 'Chinese'}]",Phoenix,33.48001,-112.15311,85031,4.5,[],1,13734,0.433012702,0.000582496,4,0.000218436,0.000308379,5,2,0.241648837,0.06,-0.05,-0.900820959,FALSE,FALSE,FALSE
44,wzQAmzQopWcfoCG8lfiE_w,14,"['Delis', 'Sandwiches', 'Restaurants']",Delis,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",Phoenix,33.6835651,-112.0990306,85027,3,[],1,13636,0.742307489,0.001026694,3,0.001686712,0.000157291,17,5,-0.417441382,-0.088235294,-0.044117647,-0.389842954,TRUE,TRUE,FALSE
46,FG_GRMLSj68ximzfrr9eWw,88,"['Mexican', 'Restaurants']",Mexican,"[{'alias': 'mexican', 'title': 'Mexican'}]",Tempe,33.42776955,-111.9431751,85281,2.5,[],2,17976,1.116878398,0.004895416,3,0.008622608,-3.54E-05,75,9,0.086274548,-0.186666667,0.125,-0.0680604,TRUE,FALSE,FALSE
47,jj-K19oswZARMwCQK-b37A,35,"['Caribbean', 'Restaurants']",Caribbean,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",Chandler,33.3174659,-111.9683351,85226,4,[],1,14798,0.970587872,0.002365184,4,0.003513988,-0.000605539,44,10,-0.092187198,0.097727273,-0.139534884,-0.217915725,TRUE,TRUE,FALSE
48,mjoxSQR7bFQtlIIjfNfaSQ,72,"['Chinese', 'Restaurants']",Chinese,"[{'alias': 'chinese', 'title': 'Chinese'}]",Surprise,33.62528463,-112.4144465,85388,4,[],1,14910,1.081851514,0.004761905,4,0.006371563,0.000318736,5,1,1.994529364,0.12,0,1.741346237,TRUE,FALSE,FALSE
49,c1yGkETheht_1vjda7G5sA,477,"['Vegetarian', 'Vegan', 'Restaurants']",Vegetarian,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",Tempe,33.4537869,-111.927166,85281,4.5,[],2,18935,0.918717455,0.024927383,5,0.07620808,-4.59E-05,18,6,3.627127768,0.188888889,0.058823529,3.693257176,TRUE,TRUE,FALSE
50,l1kqHWtICTNk8TdCNisf5A,50,"['Japanese', 'Restaurants']",Japanese,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",Chandler,33.33657881,-111.8594885,85224,4.5,[],1,18746,0.840593375,0.002560546,5,0.00565454,-0.000261461,31,12,0.192508317,0.193548387,-0.083333333,-0.133528642,TRUE,FALSE,FALSE
51,Pl1qDTX90DSLHo-ZAlAh9w,4,"['Food', 'Ice Cream & Frozen Yogurt', 'Fast Food', 'Restaurants']",Ice Cr,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",Scottsdale,33.47248,-111.92661,85257,3.5,[],1,11970,0.829156198,0.000334169,3.5,0.003842941,0.000389795,32,5,-0.760314326,-0.025,-0.161290323,-0.852369666,FALSE,TRUE,FALSE
52,qP_IDUD0G_iTZitOypzrzA,13,"['Pizza', 'Restaurants']",Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",Phoenix,33.37860646,-112.0306289,85042,3,[],2,12110,1.367414526,0.001073493,3,0.002725021,-0.00224572,12,5,-0.100554579,-0.116666667,0.204545455,-0.298730765,TRUE,TRUE,FALSE
53,xPSLlgEewbXbjsy-LdsBsg,3,"['Breakfast & Brunch', 'Delis', 'Sandwiches', 'Restaurants']",Breakfast & Brunch,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",Scottsdale,33.6260369,-111.915163,85260,3.5,[],1,5285,0.471404521,0.000567644,4,0.00037843,0.00311785,41,18,-1.175503688,-0.02195122,-0.2,-0.969948053,TRUE,FALSE,FALSE
54,1PM40DbmTVCNgENzZfs1kg,3,"['Mexican', 'Restaurants']",Mexican,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",Buckeye,33.4403,-112.5566406,85326,4.5,[],1,4158,0.471404521,0.000721501,4,0.002164502,-0.004882459,6,4,-0.73105866,0.183333333,-0.083333333,-0.302309756,TRUE,TRUE,FALSE
55,Yw86Jnab9ixke9xJ5pLhMQ,21,"['Seafood', 'Restaurants']",Seafood,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]",Glendale,33.5386549,-112.1781399,85301,2.5,[],1,17381,1.522320701,0.001208216,2,0.003912318,-0.000136737,16,2,-0.433794289,-0.175,-0.09375,-0.474826546,TRUE,TRUE,FALSE
56,XkNQVTkCEzBrq7OlRHI11Q,193,"['Restaurants', 'Pizza', 'Italian']",Restaurants,"[{'alias': 'pizza', 'title': 'Pizza'}]",Phoenix,33.4807829,-112.1097345,85015,4.5,[],2,14308,0.932210608,0.013488957,5,0.08792284,-0.000176654,4,1,1.533178819,0.075,0.166666667,1.58512012,TRUE,FALSE,FALSE
57,NBwPgX7L2D-EZedgo3A-pw,26,"['Diners', 'Mexican', 'Tex-Mex', 'Restaurants']",Diners,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]",Phoenix,33.63975,-112.04705,85022,3.5,[],1,12131,1.308257796,0.002143269,4,0.010221746,-0.000415962,11,3,0.179756988,0.027272727,-0.1,0.24162866,TRUE,FALSE,FALSE
58,0NhcabzEyeCIMsNCPOX-MQ,32,"['Food', 'Food Delivery Services', 'Delis', 'Sandwiches', 'Restaurants']",Food D,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",Tempe,33.3787206,-111.9289049,85282,3,[],1,9954,1.240519604,0.003013864,3,0.006329114,-0.00020509,18,1,-0.305721985,-0.122222222,-0.097222222,-0.209030315,FALSE,TRUE,FALSE
59,cwyAZ52cV60e-NiF-jWCMQ,5,"['Fast Food', 'Restaurants']",Fast Food,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]",Chandler,33.25966,-111.85779,85248,1.5,[],1,12950,0.8,0.0003861,1,0.001853282,0.00047355,19,5,-0.713831083,-0.384210526,-0.117647059,-0.777196383,FALSE,TRUE,FALSE
60,7-vGQpfj0RcOD-Cy7CXDiA,30,"['Greek', 'Mediterranean', 'Middle Eastern', 'Restaurants']",Greek,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",Chandler,33.306951,-111.885391,85224,3.5,[],1,6405,1.192569588,0.004683841,4,0.008899297,-0.000676662,36,3,-0.546666796,0.016666667,-0.164285714,0.356945225,TRUE,FALSE,FALSE
61,Cota2ttLUjoKhFU6ukYqSA,61,"['Taiwanese', 'Restaurants']",Taiwanese,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",Mesa,33.41315842,-111.8757782,85202,3.5,[],1,13237,0.983879743,0.004608295,4,0.005892574,0.000158697,21,5,0.511110371,-0.033333333,-0.025,0.469101198,TRUE,FALSE,FALSE
62,yA9gOueRPoQ4-Y8Xdu8k3Q,48,"['Sandwiches', 'Restaurants']",Sandwiches,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",Glendale,33.53493551,-112.2619134,85305,4,[],1,15197,0.999131567,0.003158518,4,0.005593209,0.000259534,9,2,-0.204146642,0.133333333,-0.21875,-0.181717442,TRUE,FALSE,FALSE
63,uZdGSJdWbQpLDsuV9mP79g,11,"['Food', 'Burgers', 'Fast Food', 'Ice Cream & Frozen Yogurt', 'Restaurants']",Burger,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",Scottsdale,33.58270912,-111.8936767,85260,3,[],1,3269,1.417744688,0.003059039,3,0.008259407,-0.01145104,28,17,-0.513251976,-0.089285714,-0.12037037,0.296961236,FALSE,TRUE,FALSE
64,IYVGbbABepLZ8j1bvrycLQ,4,"['Bakeries', 'Food', 'American (Traditional)', 'Restaurants']",Bakeries,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",Sun City,33.63743,-112.27071,85351,2.5,[],2,13370,1.5,0.000299177,2,0.002169035,-0.002643517,7,2,-0.515357086,-0.085714286,0.142857143,-0.673046716,TRUE,TRUE,FALSE
65,wNsmt1hF1uv3YvbwXZMAoQ,153,"['Food', 'Breweries', 'American (New)', 'Restaurants']",Brewer,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",Phoenix,33.49501,-111.97589,85018,4,[],2,5446,1.040307019,0.026808667,4,0.058575101,0.002452456,18,6,0.90401938,0.066666667,0.097222222,2.695835281,TRUE,FALSE,FALSE
